product,date,run_utc,version,change,affects_radiation,affects_wind,affects_grid,date_precision,source_url,source_type,verified,note
ECMWF IFS,2019-06-11,06:00,46r1,"LW scattering activated in the radiation scheme; convection (entrainment, CAPE closure) and shallow-convection changes; boundary-layer dry mass-flux scaling fix; new 200 m u/v wind output fields; resolution unchanged",TRUE,TRUE,FALSE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+IFS+Cycle+46r1,primary,corrected,"Date confirmed (06 UTC run). The science summary is on the 46r1 implementation page: longwave scattering activated, convection and shallow-convection changes, 2 m temperature diagnostic fix, and new 200 m wind output fields."
ECMWF IFS,2020-06-30,06:00,47r1,"Revised weak-constraint 4D-Var; quintic vertical interpolation in semi-Lagrangian advection; reduced ocean drag coefficient at high wind speeds; revised shortwave albedo of land, snow and sea ice (MODIS climatology); updated total solar irradiance and greenhouse gases (CMIP6); resolution unchanged",TRUE,TRUE,FALSE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+IFS+Cycle+47r1,primary,corrected,"Date and run confirmed. The implementation page lists shortwave albedo changes (land, snow, sea ice; MODIS climatology) and updated total solar irradiance, hence affects_radiation. The wind change is reduced ocean drag at high wind speed, not a tropical-cyclone-only Charnock tweak."
ECMWF IFS,2021-05-11,06:00,47r2,ENS vertical levels raised from 91 to 137 (matching HRES); single-precision forecasts for HRES and ENS; 12 auxiliary surface albedo fields added to the ENS control; horizontal resolution unchanged,FALSE,TRUE,TRUE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+IFS+Cycle+47r2,primary,corrected,Date confirmed (06 UTC run). ENS vertical levels 91 to 137 and single precision for HRES and ENS forecasts. ENS horizontal grid unchanged at O640.
ECMWF IFS,2021-10-12,06:00,47r3,"New moist-physics package: cloud vertical overlap changed from exponential-exponential to random-exponential; revised sub-grid cloud saturation adjustment; moist-entropy stratocumulus/cumulus distinction; revised gustiness parametrization; new neutral 10 m wind output; enhanced all-sky satellite assimilation; resolution unchanged (HRES O1280, ENS O640)",TRUE,TRUE,FALSE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+IFS+Cycle+47r3,primary,corrected,47r3 did not change HRES resolution: the implementation page says resolution was unchanged from the previous cycle (HRES O1280 ~9 km and 137 levels since 41r2 in March 2016). Moist-physics and cloud-overlap changes confirmed.
ECMWF IFS,2022-10-18,,47r3 (Atos HPC),Migration of operational suite to the new Atos HPC; no separate science change,FALSE,FALSE,FALSE,day,https://confluence.ecmwf.int/display/FCST/Changes+to+the+forecasting+system,primary,yes,Date confirmed on the changes page.
ECMWF IFS,2023-06-27,06:00,48r1,"Medium-range ENS horizontal resolution raised from ~18 km to ~9 km (51 members, 137 levels); extended-range ensemble split into a separate daily 00 UTC system with 101 members at 36 km; radiatively interactive prognostic ozone; multi-layer snow scheme; HRES unchanged",FALSE,TRUE,TRUE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+IFS+Cycle+48r1,primary,corrected,Date and ENS 18 km to 9 km confirmed (06 UTC run). The extended-range ensemble became a separate daily 00 UTC system with 101 members at 36 km; medium-range ENS stays at 51 members. Radiatively interactive prognostic ozone and a multi-layer snow scheme were introduced.
ECMWF IFS,2024-11-12,06:00,49r1,Assimilation of 2 m temperature observations; SPP replaces SPPT in all ensemble configurations; wave model moved to the 9 km O1280 grid; new FCI (Meteosat-12) and denser SEVIRI radiance use; 2 m temperature and 10 m wind speed improved in short and medium range; atmospheric resolution unchanged,FALSE,TRUE,FALSE,day,https://www.ecmwf.int/en/about/media-centre/news/2024/forecast-upgrade-improves-wind-and-temperature-predictions,primary,corrected,Date and content confirmed against the implementation page (06 UTC run). Wave model moved to the atmospheric O1280 grid; SPP replaced SPPT.
ECMWF IFS,2026-05-12,06:00,50r1,Revised SPP to reduce excessive 10 m wind spread; vertical diffusion called last in the physics; weak-constraint 4D-Var extended to the boundary layer (more 2 m temperature observations); aerosol climatology updated; convection/microphysics changes for inland precipitation; EDA perturbed members reduced from TL399 to TL255; separate HRES run stopped (ENS Control only); resolution unchanged,TRUE,TRUE,FALSE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+IFS+Cycle+50r1,primary,corrected,"Date confirmed (06 UTC run). TL399 to TL255 is the EDA perturbed-member resolution, confirmed on the implementation page; no source gives a compute-saving figure. The cycle also updated the aerosol climatology (radiation) and reordered vertical diffusion (boundary layer). The high-resolution forecast now exists only as ENS Control."
ECMWF AIFS,2025-02-25,06:00,AIFS Single v1,"First operational AIFS Single (N320, ~32 km) replacing experimental v0.2.1; revised training and bounding; outputs include ssrd, strd and newly added 100 m u/v wind",TRUE,TRUE,FALSE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+AIFS+Single+v1,primary,corrected,"Date (06 UTC) and N320 ~32 km confirmed. The implementation page lists ssrd/strd and 100 m u/v as outputs, with 100 m wind newly available, hence both flags for output-field changes."
ECMWF AIFS,2025-07-01,06:00,AIFS ENS v1,"First operational AIFS ENS: 50 perturbed members plus control, N320 (~31 km, 0.25 degree dissemination), 13 pressure levels, 4 runs/day, 15-day range; outputs include ssrd and 100 m u/v",TRUE,TRUE,FALSE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+AIFS+ENS+v1,primary,corrected,"Date (06 UTC run), 51 members, 00/06/12/18 runs and 15-day range confirmed; grid is N320 (~31 km) disseminated at 0.25 degree. ssrd and 100 m u/v are output fields."
ECMWF AIFS,2026-05-12,06:00,AIFS Single v2 / AIFS ENS v2,"AIFS Single v2: fine-tuning extended to 2018-2024, no architecture change, new 10 hPa level, wave and snow-cover outputs, forecasts less smooth than v1.1. AIFS ENS v2: multi-scale loss, stricter variable bounding, fine-tuned on 2018-2024 plus 50r1 data, new wave component and 10 hPa level",TRUE,TRUE,FALSE,day,https://confluence.ecmwf.int/display/FCST/Implementation+of+AIFS+Single+v2,primary,corrected,"Filled the missing science change from the AIFS Single v2 and AIFS ENS v2 implementation pages (06 UTC run). Single v2: fine-tuned on 2 more years of data (2018-2024), no architecture change. ENS v2: multi-scale loss, stricter bounding, fine-tuned 2018-2024 including 50r1 data."
ERA5/ERA5T,2019-01-01,,IFS 41r2 (frozen),ERA5 model version is frozen at IFS Cycle 41r2 throughout the whole record; known bug in potential evapotranspiration (PET) computation over forests and deserts inherited from this frozen cycle,FALSE,FALSE,FALSE,announced,https://confluence.ecmwf.int/display/CKB/ERA5%3A+data+documentation,primary,yes,"The ERA5 documentation states ERA5 uses CY41R2. This row is a status statement, not a change event; do not draw it as an event on a chart."
ERA5/ERA5T,2021-09-01,,ERA5T correction period,ERA5T differs from the final ERA5 for 1 Sep to 13 Dec 2021 because incorrect snow observations assimilated over central Asia were corrected before the final ERA5 run,FALSE,FALSE,FALSE,day,https://confluence.ecmwf.int/display/CKB/ERA5%3A+data+documentation,primary,corrected,"Confirmed on ECMWF's own ERA5 documentation page, a primary source. Differences are mainly snow depth, soil moisture, 2 m temperature and dewpoint over central Asia."
ERA5/ERA5T,2022-10-01,,MIR regridding change,"Some local differences between ERA5 and ERA5T for 1 to 24 October 2022 (hourly products on CDS disks), from the change of regridding software (MIR) when ERA5 production moved from Cray to Atos; not meteorologically significant",FALSE,FALSE,FALSE,day,https://confluence.ecmwf.int/display/CKB/ERA5%3A+data+documentation,primary,corrected,The date is the start of the affected period: the ERA5 documentation (primary) gives 1 to 24 October 2022 for hourly products on the CDS.
ERA5/ERA5T,2025-01-01,12:00,ERA5T rerun,"Technical issue at the turn of 2025 meant a large part of satellite observations were not used, mainly affecting tropical humidity; ERA5T and ERA5-Land-T rewritten for 12 UTC 1 Jan to 12 UTC 6 Jan 2025 with corrected data",FALSE,FALSE,FALSE,day,https://confluence.ecmwf.int/spaces/CKB/pages/140385202/ERA5-Land+data+documentation,primary,corrected,Confirmed on the ERA5-Land documentation page (primary). Affected ERA5T period is 12 UTC 1 January to 12 UTC 6 January 2025; ERA5T and ERA5-Land-T were rewritten and the consolidated ERA5 contains the corrected values.
DWD ICON global,2019-07-30,06:00,2.5.0,ICON 2.5.0: revised cloud-cover parameterisation (sub-grid cloud width coupled to turbulence; better diurnal cycle of boundary-layer cloud and mid-level liquid cloud) to improve cloud and radiation forecasts; soil evaporation parameters coupled to analysed 2 m temperature errors,TRUE,FALSE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2019/pdf_icon_30_07_2019.pdf?__blob=publicationFile,primary,corrected,"Effective 30 July 2019, 06 UTC; DWD published the notice on 2019-07-23. Content: revised cloud-cover parameterisation to improve cloud and radiation forecasts (boundary-layer cloud diurnal cycle, mid-level liquid cloud), and T2M-error coupling of soil evaporation parameters."
DWD ICON global,2020-04-21,09:00,2.6.0,Use of GNSS zenith total delay (ZTD) data; snow-evaporation correction; revised CAPE/CIN calculation; new CEILING diagnostic for ICON-EU,FALSE,FALSE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2020/pdf_icon_21_04_2020.pdf?__blob=publicationFile,primary,corrected,"Effective 21 April 2020 with the 09 UTC assimilation run, with ICON upgraded to 2.6.0; DWD published the notice on 2020-04-16."
DWD ICON global,2020-05-19,09:00,,Global assimilation of Aeolus HLOS wind observations; use of German radiosonde descent data; revised skin-temperature formulation in TERRA; ensemble soil-moisture/evapotranspiration perturbations,FALSE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2020/pdf_icon_19_05_2020.pdf?__blob=publicationFile,primary,corrected,Effective 19 May 2020 with the 09 UTC assimilation run; DWD published the notice on 2020-05-14.
DWD ICON global,2021-02-10,09:00,,ICON-D2/ICON-D2-EPS replace COSMO-D2/COSMO-D2-EPS; DWD's operational NWP system becomes entirely ICON-based,FALSE,FALSE,TRUE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon_d2/pdf_2021/pdf_icon_system_10_02_2021.pdf?__blob=publicationFile,primary,corrected,Date confirmed; the DWD notice itself is the primary source (the aviation page is secondary to it). Transition between the 06 and 09 UTC runs.
DWD ICON global,2021-09-08,,2.6.3-nwp1,"ICON 2.6.3-nwp1: SSO gravity-wave emission reformulated and retuned (global, EU nest and EPS only); small NH winter wind and temperature improvements",FALSE,TRUE,FALSE,day,https://www.dwd.de/DE/fachnutzer/forschung_lehre/numerische_wettervorhersage/nwv_aenderungen/_functions/DownloadBox_modellaenderungen/icon/pdf_2021/pdf_icon_08_09_2021.pdf?__blob=publicationFile,primary,corrected,"Effective 8 September 2021; DWD published the notice on 2021-08-31. SSO (sub-grid orography) scheme updated and retuned in the global system, improving NH winter wind by about half the 1-2% geopotential gain."
